timestamp,model_name,topic,run_id,mean_shift,polarization_index,fragmentation_index,conformity_rate,authority_in_degree,cascade_depth,agent_details_json
2026-06-24 04:04:30,qwen2.5:7b,關於數位身分證(eID)推行的隱私與便利性爭議,1,0.17,-0.83,0.67,0.67,22,2,"{""Agent_1_Isabella"": {""initial_stance"": ""Neutral"", ""initial_score"": 5, ""final_score"": 7.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""支持推行數位身分證，認為需要找到隱私與便利性的平衡點""}, ""Agent_2_James"": {""initial_stance"": ""Oppose"", ""initial_score"": 2, ""final_score"": 5.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""James強調需要在隱私保護和便利性之間找到平衡，支持理性評估而非盲從政策，表現出中立態度。""}, ""Agent_3_Sophia"": {""initial_stance"": ""Oppose"", ""initial_score"": 2, ""final_score"": 7.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": true, ""reason"": ""支持eID推行，認為需平衡隐私与便利""}, ""Agent_4_Daniel"": {""initial_stance"": ""Neutral"", ""initial_score"": 5, ""final_score"": 7.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""支持數位身分證推行，認為應平衡隱私與便利性""}, ""Agent_5_Olivia"": {""initial_stance"": ""Support"", ""initial_score"": 9, ""final_score"": 2.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""強烈反對推行數位身分證(eID)因可能侵犯隱私""}, ""Agent_6_Isabella"": {""initial_stance"": ""Support"", ""initial_score"": 9, ""final_score"": 5.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""Isabella強調需要在便利性和隱私之間找到平衡點，既不完全支持也不反對數位身分證的推行""}}"
2026-06-24 04:06:28,qwen2.5:7b,關於數位身分證(eID)推行的隱私與便利性爭議,2,1.0,-0.33,0.5,0.5,20,4,"{""Agent_1_Alex"": {""initial_stance"": ""Oppose"", ""initial_score"": 2, ""final_score"": 7.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""支持在合理隱私保護下的技術進步""}, ""Agent_2_Sophia"": {""initial_stance"": ""Oppose"", ""initial_score"": 2, ""final_score"": 3.0, ""shift_type"": ""堅持"", ""is_authority"": false, ""reason"": ""強烈反對推行eID時犧牲隱私""}, ""Agent_3_Emma"": {""initial_stance"": ""Support"", ""initial_score"": 9, ""final_score"": 5.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""Emma強調隱私保護的重要性，同時也提到需要找到便利性和隱私之間的平衡點，沒有明確表示支持或反對數位身分證(eID)的推行。""}, ""Agent_4_Emma"": {""initial_stance"": ""Neutral"", ""initial_score"": 5, ""final_score"": 7.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""支持eID推行但強調需有隱私保護措施""}, ""Agent_5_Sophia"": {""initial_stance"": ""Neutral"", ""initial_score"": 5, ""final_score"": 7.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""支持在保障隱私的前提下推行eID""}, ""Agent_6_Isabella"": {""initial_stance"": ""Support"", ""initial_score"": 9, ""final_score"": 9.0, ""shift_type"": ""堅持"", ""is_authority"": true, ""reason"": ""支持eID推行，強調進步與安全，認為合理隱私保護措施可以提升便利性""}}"
2026-06-24 04:08:34,qwen2.5:7b,關於數位身分證(eID)推行的隱私與便利性爭議,3,-1.83,-0.17,0.33,0.5,41,4,"{""Agent_1_Isabella"": {""initial_stance"": ""Oppose"", ""initial_score"": 2, ""final_score"": 2.0, ""shift_type"": ""堅持"", ""is_authority"": true, ""reason"": ""Isabella強烈反對eID推行，認為其侵犯隱私""}, ""Agent_2_Michael"": {""initial_stance"": ""Neutral"", ""initial_score"": 5, ""final_score"": 2.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""強烈反對eID推行，重視隱私保護""}, ""Agent_3_Alex"": {""initial_stance"": ""Oppose"", ""initial_score"": 2, ""final_score"": 7.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""支持eID推行，認為技術能保障隱私和提高效率""}, ""Agent_4_Daniel"": {""initial_stance"": ""Support"", ""initial_score"": 9, ""final_score"": 4.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""雖然表達了對隱私保護的支持和反對eID的標籤，但也強調考慮集體利益和效率，尋求平衡點""}, ""Agent_5_James"": {""initial_stance"": ""Support"", ""initial_score"": 9, ""final_score"": 4.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""雖然表達了對隱私保護的強烈支持，但也承認效率和便利性的合理性，尋求平衡點""}, ""Agent_6_Isabella"": {""initial_stance"": ""Neutral"", ""initial_score"": 5, ""final_score"": 2.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""Isabella強烈反對eID推行，認為不能犧牲隱私換取便利""}}"
2026-06-24 04:10:14,qwen2.5:7b,關於數位身分證(eID)推行的隱私與便利性爭議,4,0.17,-0.83,0.67,0.5,31,2,"{""Agent_1_Isabella"": {""initial_stance"": ""Neutral"", ""initial_score"": 5, ""final_score"": 7.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""支持eID推行但強調隱私保護""}, ""Agent_2_Michael"": {""initial_stance"": ""Oppose"", ""initial_score"": 2, ""final_score"": 7.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""支持eID推行但強調隱私保護和透明度""}, ""Agent_3_Sophia"": {""initial_stance"": ""Neutral"", ""initial_score"": 5, ""final_score"": 7.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""支持但保留警惕""}, ""Agent_4_Isabella"": {""initial_stance"": ""Oppose"", ""initial_score"": 2, ""final_score"": 2.0, ""shift_type"": ""堅持"", ""is_authority"": true, ""reason"": ""強烈反對數位身分證(eID)推行，認為其侵犯公民隱私""}, ""Agent_5_Michael"": {""initial_stance"": ""Support"", ""initial_score"": 9, ""final_score"": 5.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""既關注隱私問題又支持合理方案""}, ""Agent_6_Michael"": {""initial_stance"": ""Support"", ""initial_score"": 9, ""final_score"": 5.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""既關注隱私風險又支持合理方案""}}"
2026-06-24 04:12:15,qwen2.5:7b,關於數位身分證(eID)推行的隱私與便利性爭議,5,0.83,-0.17,0.67,0.5,28,4,"{""Agent_1_Olivia"": {""initial_stance"": ""Neutral"", ""initial_score"": 5, ""final_score"": 7.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""支持eID推行但強調隱私保護""}, ""Agent_2_Olivia"": {""initial_stance"": ""Oppose"", ""initial_score"": 2, ""final_score"": 3.0, ""shift_type"": ""堅持"", ""is_authority"": false, ""reason"": ""強調隱私保護不能讓步，支持嚴格法律與監管機制""}, ""Agent_3_James"": {""initial_stance"": ""Oppose"", ""initial_score"": 2, ""final_score"": 9.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""強烈支持數位身分證推行，認為便利性優先且相信政府和科技公司能妥善處理隱私問題""}, ""Agent_4_Michael"": {""initial_stance"": ""Support"", ""initial_score"": 9, ""final_score"": 4.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""雖然支持數位身分證的便利性，但強調隱私保護和法律監管的重要性，顯示出較多保留態度""}, ""Agent_5_Alex"": {""initial_stance"": ""Support"", ""initial_score"": 9, ""final_score"": 7.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": true, ""reason"": ""支持數位身分證推行但強調隱私保護""}, ""Agent_6_Michael"": {""initial_stance"": ""Neutral"", ""initial_score"": 5, ""final_score"": 7.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""支持eID推行但強調隱私保護""}}"
2026-06-24 04:14:19,qwen2.5:7b,關於數位身分證(eID)推行的隱私與便利性爭議,6,1.5,-0.5,0.33,0.5,46,3,"{""Agent_1_Sophia"": {""initial_stance"": ""Neutral"", ""initial_score"": 5, ""final_score"": 7.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""支持推行數位身分證但強調隱私保護""}, ""Agent_2_Emma"": {""initial_stance"": ""Oppose"", ""initial_score"": 2, ""final_score"": 7.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""支持兼顧技術進步與隱私保障""}, ""Agent_3_Michael"": {""initial_stance"": ""Support"", ""initial_score"": 9, ""final_score"": 9.0, ""shift_type"": ""堅持"", ""is_authority"": true, ""reason"": ""堅定支持eID推行，認為安全措施足夠且強調技術進步的重要性""}, ""Agent_4_Michael"": {""initial_stance"": ""Support"", ""initial_score"": 9, ""final_score"": 5.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""既強調隱私保護和社會監督的重要性，也承認技術進步與國家安全需求的合理性""}, ""Agent_5_Emma"": {""initial_stance"": ""Neutral"", ""initial_score"": 5, ""final_score"": 5.0, ""shift_type"": ""堅持"", ""is_authority"": false, ""reason"": ""Emma強調了隱私保護的重要性，同時也認可技術進步和透明操作流程的必要性，表現出一種平衡和中立的態度。""}, ""Agent_6_Michael"": {""initial_stance"": ""Oppose"", ""initial_score"": 2, ""final_score"": 8.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""支持數位身分證推行，認為政府已採取足夠安全措施""}}"
2026-06-24 04:16:19,qwen2.5:7b,關於數位身分證(eID)推行的隱私與便利性爭議,7,-0.83,0.17,1.0,0.5,25,3,"{""Agent_1_Sophia"": {""initial_stance"": ""Neutral"", ""initial_score"": 5, ""final_score"": 3.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""強烈關注隱私保護，反對在缺乏充分保障的情況下推行eID""}, ""Agent_2_Isabella"": {""initial_stance"": ""Oppose"", ""initial_score"": 2, ""final_score"": 7.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""支持在保障隱私的前提下逐步推广eID""}, ""Agent_3_James"": {""initial_stance"": ""Support"", ""initial_score"": 9, ""final_score"": 2.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""James強烈反對在缺乏充分保障的情況下推行eID，認為這會威脅到公民隱私""}, ""Agent_4_Olivia"": {""initial_stance"": ""Oppose"", ""initial_score"": 2, ""final_score"": 1.0, ""shift_type"": ""堅持"", ""is_authority"": true, ""reason"": ""強烈反對任何形式的個人數據收集與監控技術，認為推行eID會威脅公民隱私""}, ""Agent_5_Emma"": {""initial_stance"": ""Support"", ""initial_score"": 9, ""final_score"": 7.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""支持在充分保障隱私的前提下逐步推廣eID""}, ""Agent_6_Alex"": {""initial_stance"": ""Neutral"", ""initial_score"": 5, ""final_score"": 7.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""支持在充分保障隱私的前提下逐步推廣eID""}}"
2026-06-24 04:18:22,qwen2.5:7b,關於數位身分證(eID)推行的隱私與便利性爭議,8,-1.5,0.5,0.5,0.33,49,3,"{""Agent_1_Daniel"": {""initial_stance"": ""Support"", ""initial_score"": 9, ""final_score"": 1.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""強烈反對eID推行，認為隱私保護優先於技術進步""}, ""Agent_2_Michael"": {""initial_stance"": ""Neutral"", ""initial_score"": 5, ""final_score"": 10.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""強烈支持eID推行，認為技術進步能解決隱私問題""}, ""Agent_3_Alex"": {""initial_stance"": ""Oppose"", ""initial_score"": 2, ""final_score"": 5.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""Agent_3_Alex強調隱私保護的重要性，同時也承認技術進步的必要性，表現出一種平衡和謹慎的態度。""}, ""Agent_4_Olivia"": {""initial_stance"": ""Oppose"", ""initial_score"": 2, ""final_score"": 1.0, ""shift_type"": ""堅持"", ""is_authority"": true, ""reason"": ""強烈反對推行eID因擔心隱私風險""}, ""Agent_5_Emma"": {""initial_stance"": ""Support"", ""initial_score"": 9, ""final_score"": 3.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""強烈反對在犧牲隱私的前提下推進eID""}, ""Agent_6_Olivia"": {""initial_stance"": ""Neutral"", ""initial_score"": 5, ""final_score"": 3.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""強烈反對在犧牲隱私的前提下推進eID""}}"
2026-06-24 04:20:12,qwen2.5:7b,關於數位身分證(eID)推行的隱私與便利性爭議,9,1.67,-0.33,0.0,0.67,16,4,"{""Agent_1_Alex"": {""initial_stance"": ""Oppose"", ""initial_score"": 2, ""final_score"": 7.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""支持eID推行，強調數據安全和權威專家決策""}, ""Agent_2_Isabella"": {""initial_stance"": ""Oppose"", ""initial_score"": 2, ""final_score"": 7.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""支持平衡隱私與便利性的觀點""}, ""Agent_3_Olivia"": {""initial_stance"": ""Support"", ""initial_score"": 9, ""final_score"": 7.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": true, ""reason"": ""支持數據安全和隱私保護為首要考量，同時考慮便利性的平衡""}, ""Agent_4_Sophia"": {""initial_stance"": ""Neutral"", ""initial_score"": 5, ""final_score"": 7.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""支持在保障數據安全和隱私的前提下推行eID""}, ""Agent_5_Isabella"": {""initial_stance"": ""Neutral"", ""initial_score"": 5, ""final_score"": 7.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""支持在保障数据安全的前提下推行eID""}, ""Agent_6_Daniel"": {""initial_stance"": ""Support"", ""initial_score"": 9, ""final_score"": 7.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""支持科學證據和技術標準引導政策制定方向，同時考慮數據安全與便利性的平衡""}}"
2026-06-24 04:22:07,qwen2.5:7b,關於數位身分證(eID)推行的隱私與便利性爭議,10,-1.67,0.33,0.33,0.33,26,4,"{""Agent_1_Emma"": {""initial_stance"": ""Neutral"", ""initial_score"": 5, ""final_score"": 3.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""強調隱私保護不足和歷史權力擴張風險""}, ""Agent_2_Sophia"": {""initial_stance"": ""Support"", ""initial_score"": 9, ""final_score"": 3.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""強烈反對推行eID在隱私保護措施不完善的情況下""}, ""Agent_3_Alex"": {""initial_stance"": ""Neutral"", ""initial_score"": 5, ""final_score"": 3.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""強烈反對在隱私保護措施未完善前推行eID""}, ""Agent_4_Alex"": {""initial_stance"": ""Oppose"", ""initial_score"": 2, ""final_score"": 2.0, ""shift_type"": ""堅持"", ""is_authority"": true, ""reason"": ""堅決反對在隱私保護措施不完善的情況下推廣 eID""}, ""Agent_5_Daniel"": {""initial_stance"": ""Oppose"", ""initial_score"": 2, ""final_score"": 9.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""支持eID推行，強調科技便利性及信任政府決策""}, ""Agent_6_Michael"": {""initial_stance"": ""Support"", ""initial_score"": 9, ""final_score"": 2.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""強烈反對在隱私保護措施不完善的情況下推廣 eID""}}"
