timestamp,model_name,topic,run_id,mean_shift,polarization_index,fragmentation_index,conformity_rate,authority_in_degree,cascade_depth,agent_details_json
2026-06-25 06:19:22,llama3:8b,關於數位身分證(eID)推行的隱私與便利性爭議,1,-4.17,1.5,0.0,0.17,47,5,"{""Agent_1_Sophia"": {""initial_stance"": ""Oppose"", ""initial_score"": 2, ""final_score"": 1.0, ""shift_type"": ""堅持"", ""is_authority"": true, ""reason"": ""強烈反對eID推行，認為隱私風險遠大於便利性""}, ""Agent_2_Emma"": {""initial_stance"": ""Support"", ""initial_score"": 9, ""final_score"": 2.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""Emma強烈反對eID，認為其威脅隱私，主張透明度和 Accountability""}, ""Agent_3_Michael"": {""initial_stance"": ""Oppose"", ""initial_score"": 2, ""final_score"": 1.0, ""shift_type"": ""堅持"", ""is_authority"": false, ""reason"": ""強烈反對eID推行，認為其威脅隱私""}, ""Agent_4_Michael"": {""initial_stance"": ""Support"", ""initial_score"": 9, ""final_score"": 1.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""強烈反對eID推行，認為隱私風險遠大於便利性""}, ""Agent_5_Daniel"": {""initial_stance"": ""Neutral"", ""initial_score"": 5, ""final_score"": 1.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""強烈反對eID推行，認為其威脅隱私""}, ""Agent_6_Isabella"": {""initial_stance"": ""Neutral"", ""initial_score"": 5, ""final_score"": 1.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""強烈反對eID推行，認為隱私風險遠大於便利性""}}"
2026-06-25 06:22:38,llama3:8b,關於數位身分證(eID)推行的隱私與便利性爭議,2,0.5,-1.5,0.83,0.5,68,2,"{""Agent_1_Alex"": {""initial_stance"": ""Support"", ""initial_score"": 9, ""final_score"": 10.0, ""shift_type"": ""堅持"", ""is_authority"": true, ""reason"": ""Agent_1_Alex一貫強烈支持eID系統，認為其好處遠大於風險""}, ""Agent_2_Emma"": {""initial_stance"": ""Neutral"", ""initial_score"": 5, ""final_score"": 5.0, ""shift_type"": ""堅持"", ""is_authority"": false, ""reason"": ""Emma表現出對eID潛在風險和不確定性的關注，同時也承認其長期好處，並呼籲進行全面的討論""}, ""Agent_3_Alex"": {""initial_stance"": ""Support"", ""initial_score"": 9, ""final_score"": 5.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""Agent_3_Alex表現出對eID潛在風險和不確定性的謹慎態度，同時也認為有必要考慮個體自由與自主權的替代方案。他既未強烈支持也未反對，而是呼籲進行建設性和尊重的討論。""}, ""Agent_4_Alex"": {""initial_stance"": ""Neutral"", ""initial_score"": 5, ""final_score"": 5.0, ""shift_type"": ""堅持"", ""is_authority"": false, ""reason"": ""Agent_4_Alex表現出對eID既支持又保留的態度，強調需要平衡隱私風險和便利性，並倡導全面且尊重的討論。""}, ""Agent_5_Sophia"": {""initial_stance"": ""Oppose"", ""initial_score"": 2, ""final_score"": 5.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""Agent_5_Sophia表現出對eID既有利又有風險的看法，強調需要平衡和深入討論，沒有明確的反對或支持立場""}, ""Agent_6_Sophia"": {""initial_stance"": ""Oppose"", ""initial_score"": 2, ""final_score"": 5.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""Agent_6_Sophia 表現出對 eID 的潛在好處和風險的平衡看法，既不完全支持也不反對，強調需要更多證據和深入討論""}}"
2026-06-25 06:25:11,llama3:8b,關於數位身分證(eID)推行的隱私與便利性爭議,3,0.0,-0.33,0.83,0.5,38,3,"{""Agent_1_James"": {""initial_stance"": ""Oppose"", ""initial_score"": 2, ""final_score"": 2.0, ""shift_type"": ""堅持"", ""is_authority"": false, ""reason"": ""James持續表達對eID系統推行的隱私風險擔憂，強調需要更加謹慎考慮數據使用的長期影響，並認為應優先保護隱私和個人自由。""}, ""Agent_2_Sophia"": {""initial_stance"": ""Support"", ""initial_score"": 9, ""final_score"": 8.0, ""shift_type"": ""堅持"", ""is_authority"": true, ""reason"": ""支持eID系统并认为可以通过加密和访问控制来保护隐私""}, ""Agent_3_Daniel"": {""initial_stance"": ""Oppose"", ""initial_score"": 2, ""final_score"": 3.0, ""shift_type"": ""堅持"", ""is_authority"": false, ""reason"": ""強烈關注中央資料庫風險，主張謹慎考慮隱私保護""}, ""Agent_4_Emma"": {""initial_stance"": ""Neutral"", ""initial_score"": 5, ""final_score"": 7.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""支持eID系统设计得当可以平衡便利性和隐私保护""}, ""Agent_5_Daniel"": {""initial_stance"": ""Neutral"", ""initial_score"": 5, ""final_score"": 7.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""支持eID系统可以平衡便利性和隐私保护""}, ""Agent_6_Daniel"": {""initial_stance"": ""Support"", ""initial_score"": 9, ""final_score"": 5.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""Agent_6_Daniel表現出對eID系統可能帶來的好處和風險都有認識，既不完全支持也不反對，尋求平衡""}}"
2026-06-25 06:27:28,llama3:8b,關於數位身分證(eID)推行的隱私與便利性爭議,4,2.5,0.5,0.0,0.67,38,2,"{""Agent_1_Alex"": {""initial_stance"": ""Neutral"", ""initial_score"": 5, ""final_score"": 8.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""支持eID推行，認為在適當保護措施下，其便利性優於隱私風險""}, ""Agent_2_Sophia"": {""initial_stance"": ""Neutral"", ""initial_score"": 5, ""final_score"": 7.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""支持eIDs但強調需有健全的隱私權措施""}, ""Agent_3_James"": {""initial_stance"": ""Support"", ""initial_score"": 9, ""final_score"": 8.0, ""shift_type"": ""堅持"", ""is_authority"": false, ""reason"": ""支持eID推行，認為利大於弊，強調需平衡便利性和安全性""}, ""Agent_4_Emma"": {""initial_stance"": ""Oppose"", ""initial_score"": 2, ""final_score"": 8.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""支持eID推行，認為隱私保護措施到位時，其便利性優於風險""}, ""Agent_5_Olivia"": {""initial_stance"": ""Oppose"", ""initial_score"": 2, ""final_score"": 8.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": true, ""reason"": ""支持eID推行，認為適當的安全措施可以保護隱私""}, ""Agent_6_Olivia"": {""initial_stance"": ""Support"", ""initial_score"": 9, ""final_score"": 8.0, ""shift_type"": ""堅持"", ""is_authority"": false, ""reason"": ""支持eID推行，認為在適當保護措施下其好處大於風險""}}"
2026-06-25 06:30:26,llama3:8b,關於數位身分證(eID)推行的隱私與便利性爭議,5,-1.33,-1.33,0.67,0.33,46,2,"{""Agent_1_Emma"": {""initial_stance"": ""Support"", ""initial_score"": 9, ""final_score"": 5.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""Agent_1_Emma表現出對eID潛在好處和風險的平衡看法，既認可其便利性也強調隱私保護的重要性""}, ""Agent_2_Daniel"": {""initial_stance"": ""Oppose"", ""initial_score"": 2, ""final_score"": 2.0, ""shift_type"": ""堅持"", ""is_authority"": false, ""reason"": ""Agent_2_Daniel持續表達對eID隱私和安全性的擔憂，並強調個體自主權和隱私的重要性""}, ""Agent_3_Sophia"": {""initial_stance"": ""Oppose"", ""initial_score"": 2, ""final_score"": 2.0, ""shift_type"": ""堅持"", ""is_authority"": true, ""reason"": ""Agent_3_Sophia強烈反對eID，認為風險遠大於便利性，特別擔心隱私侵犯和政府監控""}, ""Agent_4_Olivia"": {""initial_stance"": ""Neutral"", ""initial_score"": 5, ""final_score"": 5.0, ""shift_type"": ""堅持"", ""is_authority"": false, ""reason"": ""Agent_4_Olivia 表現出對 eID 的潛在好處和風險的平衡看法，既不完全支持也不反對""}, ""Agent_5_Isabella"": {""initial_stance"": ""Support"", ""initial_score"": 9, ""final_score"": 5.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""Agent_5_Isabella表現出對eID既有利又有弊的看法，並未明確支持或反對，而是呼籲平衡利弊""}, ""Agent_6_Isabella"": {""initial_stance"": ""Neutral"", ""initial_score"": 5, ""final_score"": 5.0, ""shift_type"": ""堅持"", ""is_authority"": false, ""reason"": ""Agent_6_Isabella表現出對eID既不完全支持也不完全反對的態度，她強調了安全性和隱私保護的重要性，並呼籲進一步討論其潛在風險和好處。""}}"
2026-06-25 06:32:46,llama3:8b,關於數位身分證(eID)推行的隱私與便利性爭議,6,-0.67,0.33,1.0,0.5,29,2,"{""Agent_1_Daniel"": {""initial_stance"": ""Oppose"", ""initial_score"": 2, ""final_score"": 3.0, ""shift_type"": ""堅持"", ""is_authority"": false, ""reason"": ""Agent_1_Daniel 表現出對數位身分證推行的高度保留態度，強調需要更多關於數據保護和隱私的具體保證，否則將堅決反對。""}, ""Agent_2_Daniel"": {""initial_stance"": ""Support"", ""initial_score"": 9, ""final_score"": 2.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""強烈反對推行eID，重視隱私與數據保護""}, ""Agent_3_Olivia"": {""initial_stance"": ""Oppose"", ""initial_score"": 2, ""final_score"": 1.0, ""shift_type"": ""堅持"", ""is_authority"": true, ""reason"": ""強烈反對推行缺乏充分保障措施的數位身分證(eID)，重視隱私與安全""}, ""Agent_4_James"": {""initial_stance"": ""Neutral"", ""initial_score"": 5, ""final_score"": 8.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""支持eID推行但強調需有適當保障和透明度""}, ""Agent_5_Emma"": {""initial_stance"": ""Support"", ""initial_score"": 9, ""final_score"": 7.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""支持eID推行但需有充分保障""}, ""Agent_6_Daniel"": {""initial_stance"": ""Neutral"", ""initial_score"": 5, ""final_score"": 7.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""支持eID但強調需有適當保障和透明度""}}"
2026-06-25 06:35:35,llama3:8b,關於數位身分證(eID)推行的隱私與便利性爭議,7,-2.5,-0.17,0.17,0.5,51,4,"{""Agent_1_Emma"": {""initial_stance"": ""Neutral"", ""initial_score"": 5, ""final_score"": 2.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""Emma強烈關注隱私和安全問題，反對在缺乏透明度和數據保護措施的情況下推行eID""}, ""Agent_2_Isabella"": {""initial_stance"": ""Support"", ""initial_score"": 9, ""final_score"": 2.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""強烈反對推行eID，除非有更透明和堅固的隱私權保護措施""}, ""Agent_3_Alex"": {""initial_stance"": ""Support"", ""initial_score"": 9, ""final_score"": 5.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""Agent_3_Alex表現出對eID潛在好處的認可，但強調必須優先考慮數據保護措施，表明了一種平衡和中立的態度。""}, ""Agent_4_James"": {""initial_stance"": ""Oppose"", ""initial_score"": 2, ""final_score"": 3.0, ""shift_type"": ""堅持"", ""is_authority"": true, ""reason"": ""強烈反對推行eID在缺乏透明度和數據保護措施的情況下""}, ""Agent_5_Sophia"": {""initial_stance"": ""Oppose"", ""initial_score"": 2, ""final_score"": 2.0, ""shift_type"": ""堅持"", ""is_authority"": false, ""reason"": ""強烈反對推行eID缺乏透明度和數據保護措施""}, ""Agent_6_Daniel"": {""initial_stance"": ""Neutral"", ""initial_score"": 5, ""final_score"": 3.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""強烈反對推行eID在缺乏透明度和數據保護措施的情況下""}}"
2026-06-25 06:38:00,llama3:8b,關於數位身分證(eID)推行的隱私與便利性爭議,8,-2.83,0.17,0.0,0.33,47,4,"{""Agent_1_Michael"": {""initial_stance"": ""Oppose"", ""initial_score"": 2, ""final_score"": 2.0, ""shift_type"": ""堅持"", ""is_authority"": true, ""reason"": ""強烈反對eID推行，認為個資隱私應優先於便利性""}, ""Agent_2_Isabella"": {""initial_stance"": ""Support"", ""initial_score"": 9, ""final_score"": 3.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""Isabella強烈關注隱私保護，要求具體數據保護措施，對eID持保留態度""}, ""Agent_3_Daniel"": {""initial_stance"": ""Neutral"", ""initial_score"": 5, ""final_score"": 3.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""Agent_3_Daniel主要表達了對隱私保護的重視，並強調在追求便利性時不能犧牲個人的隱私權，整體立場傾向反對eID推行""}, ""Agent_4_Isabella"": {""initial_stance"": ""Neutral"", ""initial_score"": 5, ""final_score"": 2.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""Isabella強烈反對eID推行，除非有具體數據保護計劃""}, ""Agent_5_Sophia"": {""initial_stance"": ""Oppose"", ""initial_score"": 2, ""final_score"": 2.0, ""shift_type"": ""堅持"", ""is_authority"": false, ""reason"": ""強烈反對eID推行，認為個資隱私應優先於便利性""}, ""Agent_6_Isabella"": {""initial_stance"": ""Support"", ""initial_score"": 9, ""final_score"": 3.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""強烈反對推行eID，除非有明確的數據保護計劃""}}"
2026-06-25 06:40:35,llama3:8b,關於數位身分證(eID)推行的隱私與便利性爭議,9,1.33,-0.67,0.33,0.5,124,3,"{""Agent_1_Michael"": {""initial_stance"": ""Support"", ""initial_score"": 9, ""final_score"": 9.0, ""shift_type"": ""堅持"", ""is_authority"": true, ""reason"": ""強烈支持eID推行，認為隱私問題可通過妥善實施和保障措施解決""}, ""Agent_2_Michael"": {""initial_stance"": ""Oppose"", ""initial_score"": 2, ""final_score"": 5.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""Agent_2_Michael 表現出對 eID 的潛在好處和風險都有所考慮，既不完全支持也不反對""}, ""Agent_3_Alex"": {""initial_stance"": ""Neutral"", ""initial_score"": 5, ""final_score"": 7.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""支持eID推行但強調需考慮風險和缺點""}, ""Agent_4_Isabella"": {""initial_stance"": ""Neutral"", ""initial_score"": 5, ""final_score"": 5.0, ""shift_type"": ""堅持"", ""is_authority"": false, ""reason"": ""Agent_4_Isabella 表現出對 eID 的潛在好處和風險都有所考慮，既不完全支持也不反對""}, ""Agent_5_Michael"": {""initial_stance"": ""Oppose"", ""initial_score"": 2, ""final_score"": 7.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""支持eID推行但強調需考慮風險和保障隱私""}, ""Agent_6_Emma"": {""initial_stance"": ""Support"", ""initial_score"": 9, ""final_score"": 7.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""支持eID推行但強調需考慮風險和缺點""}}"
2026-06-25 06:43:06,llama3:8b,關於數位身分證(eID)推行的隱私與便利性爭議,10,-2.5,-0.17,0.17,0.5,54,1,"{""Agent_1_Michael"": {""initial_stance"": ""Oppose"", ""initial_score"": 2, ""final_score"": 2.0, ""shift_type"": ""堅持"", ""is_authority"": false, ""reason"": ""強烈反對推行eID，重視隱私保護""}, ""Agent_2_James"": {""initial_stance"": ""Neutral"", ""initial_score"": 5, ""final_score"": 2.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""強烈反對推行eID，擔心隱私風險""}, ""Agent_3_Sophia"": {""initial_stance"": ""Support"", ""initial_score"": 9, ""final_score"": 2.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": true, ""reason"": ""強烈反對推行eID，重視隱私保護超過便利性""}, ""Agent_4_Sophia"": {""initial_stance"": ""Oppose"", ""initial_score"": 2, ""final_score"": 4.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""Agent_4_Sophia強調需要優先保護隱私，並質疑eID的支持者忽略潛在風險，表明對推行eID持保留態度""}, ""Agent_5_Daniel"": {""initial_stance"": ""Neutral"", ""initial_score"": 5, ""final_score"": 2.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""Agent_5_Daniel強烈反對eID的快速推行，認為需要更多考慮隱私保護""}, ""Agent_6_Sophia"": {""initial_stance"": ""Support"", ""initial_score"": 9, ""final_score"": 5.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""Agent_6_Sophia表現出對eID既不完全支持也不完全反對，強調需要在隱私保護、安全性和便利性之間找到平衡""}}"
