timestamp,model_name,topic,run_id,mean_shift,polarization_index,fragmentation_index,conformity_rate,authority_in_degree,cascade_depth,agent_details_json
2026-06-27 03:33:33,deepseek-r1:8b,關於數位身分證(eID)推行的隱私與便利性爭議,1,-0.83,-0.5,1.0,0.33,25,2,"{""Agent_1_Emma"": {""initial_stance"": ""Oppose"", ""initial_score"": 2, ""final_score"": 1.0, ""shift_type"": ""堅持"", ""is_authority"": true, ""reason"": ""Emma強烈反對eID系統，認為其侵犯隱私權和公民自由""}, ""Agent_2_Sophia"": {""initial_stance"": ""Neutral"", ""initial_score"": 5, ""final_score"": 7.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""支持在完善安全保障和公眾參與下推行eID""}, ""Agent_3_Sophia"": {""initial_stance"": ""Oppose"", ""initial_score"": 2, ""final_score"": 2.0, ""shift_type"": ""堅持"", ""is_authority"": false, ""reason"": ""Agent_3_Sophia 多次強烈反對 eID 推行，認為這是政府監控的工具，侵犯人權和隱私權""}, ""Agent_4_Michael"": {""initial_stance"": ""Support"", ""initial_score"": 9, ""final_score"": 7.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""支持eID推行，認為需要完善監督機制和安全保障措施""}, ""Agent_5_Alex"": {""initial_stance"": ""Support"", ""initial_score"": 9, ""final_score"": 5.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""Agent_5_Alex 在討論中既強調了便利性的價值，也開始反思隱私和公民自由的重要性，最終表現出尋求兩者之間平衡的態度。""}, ""Agent_6_Olivia"": {""initial_stance"": ""Neutral"", ""initial_score"": 5, ""final_score"": 5.0, ""shift_type"": ""堅持"", ""is_authority"": false, ""reason"": ""Olivia 表現出對 eID 的潛在效益和隱私風險都有所考慮，既看到其提升行政效率的可能，也強調不能忽視資訊安全和隱私權問題。""}}"
2026-06-27 03:35:48,deepseek-r1:8b,關於數位身分證(eID)推行的隱私與便利性爭議,2,-0.33,-0.67,1.0,0.67,25,3,"{""Agent_1_Olivia"": {""initial_stance"": ""Oppose"", ""initial_score"": 2, ""final_score"": 3.0, ""shift_type"": ""堅持"", ""is_authority"": false, ""reason"": ""強烈反對eID推行缺乏透明度和本土化驗證""}, ""Agent_2_Sophia"": {""initial_stance"": ""Oppose"", ""initial_score"": 2, ""final_score"": 5.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""Agent_2_Sophia 表達了對透明度和本土化評估的需求，既不完全支持也不反對 eID 的推行""}, ""Agent_3_James"": {""initial_stance"": ""Support"", ""initial_score"": 9, ""final_score"": 2.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""強烈反對推行未經本土風險評估的eID系統""}, ""Agent_4_Sophia"": {""initial_stance"": ""Neutral"", ""initial_score"": 5, ""final_score"": 7.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""支持eID推行，強調透明度與安全性基礎上的便利性""}, ""Agent_5_Alex"": {""initial_stance"": ""Support"", ""initial_score"": 9, ""final_score"": 8.0, ""shift_type"": ""堅持"", ""is_authority"": true, ""reason"": ""支持eID推行，強調國際標準的重要性""}, ""Agent_6_James"": {""initial_stance"": ""Neutral"", ""initial_score"": 5, ""final_score"": 5.0, ""shift_type"": ""堅持"", ""is_authority"": false, ""reason"": ""Agent_6_James 表現出對不同觀點的理解和尊重，既支持科學證據和技术标准的重要性，也強調了本土化評估和具體執行方案的必要性，未明顯傾向於支持或反對""}}"
2026-06-27 03:37:48,deepseek-r1:8b,關於數位身分證(eID)推行的隱私與便利性爭議,3,-0.5,-0.17,0.83,0.5,26,3,"{""Agent_1_Emma"": {""initial_stance"": ""Neutral"", ""initial_score"": 5, ""final_score"": 7.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""支持eID推行，但強調需完善隱私保護和監督機制""}, ""Agent_2_Michael"": {""initial_stance"": ""Neutral"", ""initial_score"": 5, ""final_score"": 2.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""強烈反對eID推行，重視隱私與監督機制""}, ""Agent_3_Alex"": {""initial_stance"": ""Support"", ""initial_score"": 9, ""final_score"": 7.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""支持技術標準和監督機制並重""}, ""Agent_4_James"": {""initial_stance"": ""Support"", ""initial_score"": 9, ""final_score"": 7.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""支持eID推行但強調需完善監督機制和技術安全""}, ""Agent_5_Isabella"": {""initial_stance"": ""Oppose"", ""initial_score"": 2, ""final_score"": 5.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""Isabella既認同加密技術的重要性也強調監督機制的必要性，表現出對eID推行持保留態度，不完全支持也不反對""}, ""Agent_6_Emma"": {""initial_stance"": ""Oppose"", ""initial_score"": 2, ""final_score"": 1.0, ""shift_type"": ""堅持"", ""is_authority"": true, ""reason"": ""強烈反對eID推行，認為其侵犯隱私權且法治監督不足""}}"
2026-06-27 03:40:13,deepseek-r1:8b,關於數位身分證(eID)推行的隱私與便利性爭議,4,-1.33,0.0,0.67,0.5,34,4,"{""Agent_1_Daniel"": {""initial_stance"": ""Neutral"", ""initial_score"": 5, ""final_score"": 4.0, ""shift_type"": ""堅持"", ""is_authority"": false, ""reason"": ""Agent_1_Daniel 表達了對eID政策推行中的隱私保護和技術安全性的深切關注，同時也批評了一些主張便利性優先的觀點。他強調需要更嚴謹的安全標準與監控系統，並且質疑在缺乏完善退出機制的情況下推進數位身分證的合理性。這些立場表明他在支持eID政策推行上持保留態度，但並未完全反對。""}, ""Agent_2_Daniel"": {""initial_stance"": ""Oppose"", ""initial_score"": 2, ""final_score"": 1.0, ""shift_type"": ""堅持"", ""is_authority"": true, ""reason"": ""強烈反對eID政策推行""}, ""Agent_3_James"": {""initial_stance"": ""Neutral"", ""initial_score"": 5, ""final_score"": 2.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""強烈反對推行eID""}, ""Agent_4_Olivia"": {""initial_stance"": ""Support"", ""initial_score"": 9, ""final_score"": 3.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""強烈反對推行eID""}, ""Agent_5_Alex"": {""initial_stance"": ""Oppose"", ""initial_score"": 2, ""final_score"": 7.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""支持eID推行，認為政府和專家能解決技術與隱私問題""}, ""Agent_6_Alex"": {""initial_stance"": ""Support"", ""initial_score"": 9, ""final_score"": 7.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""支持eID推行但要求全面評估""}}"
2026-06-27 03:42:07,deepseek-r1:8b,關於數位身分證(eID)推行的隱私與便利性爭議,5,0.67,0.0,0.33,0.5,35,2,"{""Agent_1_Michael"": {""initial_stance"": ""Support"", ""initial_score"": 9, ""final_score"": 7.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""支持eID推行但強調法律保障和透明度""}, ""Agent_2_Olivia"": {""initial_stance"": ""Neutral"", ""initial_score"": 5, ""final_score"": 7.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""支持eID推行但強調需有科學證據、技術標準和透明化機制""}, ""Agent_3_Daniel"": {""initial_stance"": ""Oppose"", ""initial_score"": 2, ""final_score"": 7.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""支持eID推行，認為需要完善法律和技術配套""}, ""Agent_4_Alex"": {""initial_stance"": ""Support"", ""initial_score"": 9, ""final_score"": 7.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""支持在嚴謹技術安全測試和隱私保護前提下的eID推行""}, ""Agent_5_Olivia"": {""initial_stance"": ""Oppose"", ""initial_score"": 2, ""final_score"": 1.0, ""shift_type"": ""堅持"", ""is_authority"": true, ""reason"": ""強烈反對eID系統，認為其侵犯隱私且法律保障不足""}, ""Agent_6_Daniel"": {""initial_stance"": ""Neutral"", ""initial_score"": 5, ""final_score"": 7.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""支持eID推行，強調需通過嚴謹技術論證和數據支援""}}"
2026-06-27 03:44:30,deepseek-r1:8b,關於數位身分證(eID)推行的隱私與便利性爭議,6,0.67,-0.33,0.5,0.67,24,3,"{""Agent_1_Olivia"": {""initial_stance"": ""Neutral"", ""initial_score"": 5, ""final_score"": 2.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""Olivia強烈批評eID推行過程中的安全和隱私問題，認為政策制定者忽視了公共衛生風險並過度強調便利性""}, ""Agent_2_Michael"": {""initial_stance"": ""Oppose"", ""initial_score"": 2, ""final_score"": 7.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""支持eID推行但強調需完善監督機制和使用者需求""}, ""Agent_3_Alex"": {""initial_stance"": ""Support"", ""initial_score"": 9, ""final_score"": 8.0, ""shift_type"": ""堅持"", ""is_authority"": true, ""reason"": ""支持eID推行，強調技術標準和安全性的同時也考慮到使用者需求""}, ""Agent_4_Sophia"": {""initial_stance"": ""Oppose"", ""initial_score"": 2, ""final_score"": 7.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""支持eID推行但強調需謹慎規劃和確保安全""}, ""Agent_5_James"": {""initial_stance"": ""Support"", ""initial_score"": 9, ""final_score"": 5.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""Agent_5_James 表現出對政策推行中技術與使用者感受之間平衡的關注，既認同某些專家觀點也批評了浪漫化概念和執行落差問題，顯示出一種審慎且不完全支持或反對的態度。""}, ""Agent_6_Emma"": {""initial_stance"": ""Neutral"", ""initial_score"": 5, ""final_score"": 7.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""支持eID推行，認為技術可行且必要""}}"
2026-06-27 03:46:20,deepseek-r1:8b,關於數位身分證(eID)推行的隱私與便利性爭議,7,-2.33,0.33,0.33,0.5,24,4,"{""Agent_1_Daniel"": {""initial_stance"": ""Neutral"", ""initial_score"": 5, ""final_score"": 2.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""Daniel強烈質疑eID的安全性，認為技術標準未達標前討論便利性無意義""}, ""Agent_2_Sophia"": {""initial_stance"": ""Oppose"", ""initial_score"": 2, ""final_score"": 2.0, ""shift_type"": ""堅持"", ""is_authority"": true, ""reason"": ""強烈反對eID草案，認為其侵犯隱私權""}, ""Agent_3_Alex"": {""initial_stance"": ""Neutral"", ""initial_score"": 5, ""final_score"": 3.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""強烈反對推行eID政策""}, ""Agent_4_James"": {""initial_stance"": ""Oppose"", ""initial_score"": 2, ""final_score"": 7.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""支持在技術安全和人權保障兼顧的前提下推行eID""}, ""Agent_5_Daniel"": {""initial_stance"": ""Support"", ""initial_score"": 9, ""final_score"": 2.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""強烈反對推行eID，特別是因為隱私和人權問題""}, ""Agent_6_Michael"": {""initial_stance"": ""Support"", ""initial_score"": 9, ""final_score"": 2.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""強烈反對推行缺乏技術安全基礎的eID""}}"
2026-06-27 03:48:42,deepseek-r1:8b,關於數位身分證(eID)推行的隱私與便利性爭議,8,-0.83,0.17,0.83,0.33,39,1,"{""Agent_1_Michael"": {""initial_stance"": ""Neutral"", ""initial_score"": 5, ""final_score"": 5.0, ""shift_type"": ""堅持"", ""is_authority"": false, ""reason"": ""Michael的立場表現出對eID推行既不完全支持也不反對，他強調了隱私保護和透明度的重要性，但同時也批評了一些過於懷疑的態度。""}, ""Agent_2_Sophia"": {""initial_stance"": ""Support"", ""initial_score"": 9, ""final_score"": 2.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""Sophia持續批評eID的安全性和政府的執行力，對推行持反對態度""}, ""Agent_3_Daniel"": {""initial_stance"": ""Support"", ""initial_score"": 9, ""final_score"": 9.0, ""shift_type"": ""堅持"", ""is_authority"": true, ""reason"": ""支持eID技术，强调其安全性并反驳质疑""}, ""Agent_4_Sophia"": {""initial_stance"": ""Oppose"", ""initial_score"": 2, ""final_score"": 7.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""支持eID推行，認為技術框架和標準是可靠的""}, ""Agent_5_Emma"": {""initial_stance"": ""Oppose"", ""initial_score"": 2, ""final_score"": 2.0, ""shift_type"": ""堅持"", ""is_authority"": false, ""reason"": ""Emma強烈批評了Daniel和政府在eID推行中的態度與做法，認為他們缺乏透明度和實際行動，只是一味地引用標準來搪塞問題。""}, ""Agent_6_Alex"": {""initial_stance"": ""Neutral"", ""initial_score"": 5, ""final_score"": 2.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""強烈反對推行eID，質疑理論標準的實用性和政府的誠信""}}"
2026-06-27 03:51:15,deepseek-r1:8b,關於數位身分證(eID)推行的隱私與便利性爭議,9,-0.17,-1.17,0.83,0.5,32,2,"{""Agent_1_Alex"": {""initial_stance"": ""Neutral"", ""initial_score"": 5, ""final_score"": 7.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""支持但有保留""}, ""Agent_2_Isabella"": {""initial_stance"": ""Support"", ""initial_score"": 9, ""final_score"": 5.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""Isabella既表達了對隱私和技術標準的重視，也未完全排除eID的可能性，顯示出一種中立態度""}, ""Agent_3_Isabella"": {""initial_stance"": ""Neutral"", ""initial_score"": 5, ""final_score"": 5.0, ""shift_type"": ""堅持"", ""is_authority"": false, ""reason"": ""Isabella表現出對eID推行的保留態度，既強調了隱私和安全的重要性，也認為需要具體數據支持，表明了一種中立的立場。""}, ""Agent_4_Daniel"": {""initial_stance"": ""Oppose"", ""initial_score"": 2, ""final_score"": 2.0, ""shift_type"": ""堅持"", ""is_authority"": false, ""reason"": ""強烈反對推行eID，關注隱私風險和技術標準不足""}, ""Agent_5_Olivia"": {""initial_stance"": ""Oppose"", ""initial_score"": 2, ""final_score"": 5.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""Agent_5_Olivia 表現出對 eID 推行的複雜性和挑戰的理解，既強調了技術標準和數據支持的重要性，也指出了民主程序中的不足。她沒有明確表示支持或反對，而是呼籲更嚴謹的規劃和公開辯論。""}, ""Agent_6_Daniel"": {""initial_stance"": ""Support"", ""initial_score"": 9, ""final_score"": 7.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": true, ""reason"": ""支持eID推行但強調需滿足技術標準和民主程序""}}"
2026-06-27 03:53:21,deepseek-r1:8b,關於數位身分證(eID)推行的隱私與便利性爭議,10,-0.83,-0.5,0.83,0.5,30,2,"{""Agent_1_Alex"": {""initial_stance"": ""Neutral"", ""initial_score"": 5, ""final_score"": 7.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""支持在保障隱私的前提下推行eID""}, ""Agent_2_Michael"": {""initial_stance"": ""Oppose"", ""initial_score"": 2, ""final_score"": 3.0, ""shift_type"": ""堅持"", ""is_authority"": false, ""reason"": ""強烈反對eID推行，特別是對於隱私保護和安全性的擔憂""}, ""Agent_3_Emma"": {""initial_stance"": ""Support"", ""initial_score"": 9, ""final_score"": 7.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""支持在保障隱私的前提下逐步推行eID""}, ""Agent_4_Alex"": {""initial_stance"": ""Support"", ""initial_score"": 9, ""final_score"": 3.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""強烈反對推行eID，重視隱私安全，認為現有技術和監控機制不足""}, ""Agent_5_Isabella"": {""initial_stance"": ""Oppose"", ""initial_score"": 2, ""final_score"": 2.0, ""shift_type"": ""堅持"", ""is_authority"": true, ""reason"": ""強烈反對eID推行中的隱私侵犯和過度技術依賴""}, ""Agent_6_James"": {""initial_stance"": ""Neutral"", ""initial_score"": 5, ""final_score"": 5.0, ""shift_type"": ""堅持"", ""is_authority"": false, ""reason"": ""Agent_6_James 强调了技术标准和法律保障的重要性，但没有明确表示支持或反对eID的推行，显示出一种中立的态度。""}}"
