timestamp,model_name,topic,run_id,mean_shift,polarization_index,fragmentation_index,conformity_rate,authority_in_degree,cascade_depth,agent_details_json
2026-06-26 04:10:48,qwen2.5:7b,關於數位身分證(eID)推行的隱私與便利性爭議,1,1.67,0.67,0.33,0.5,27,4,"{""Agent_1_Sophia"": {""initial_stance"": ""Support"", ""initial_score"": 9, ""final_score"": 2.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""強烈反對推行數位身分證(eID)，重視數據安全和個人隱私""}, ""Agent_2_Emma"": {""initial_stance"": ""Oppose"", ""initial_score"": 2, ""final_score"": 8.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""支持eID推行，強調科技正面影響和安全措施""}, ""Agent_3_Olivia"": {""initial_stance"": ""Neutral"", ""initial_score"": 5, ""final_score"": 8.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""支持eID推行，強調安全標準和理性討論""}, ""Agent_4_Daniel"": {""initial_stance"": ""Neutral"", ""initial_score"": 5, ""final_score"": 7.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""支持科技带来的便利性和正面影响""}, ""Agent_5_Olivia"": {""initial_stance"": ""Support"", ""initial_score"": 9, ""final_score"": 9.0, ""shift_type"": ""堅持"", ""is_authority"": true, ""reason"": ""支持eID推行，強調安全標準和技術進步""}, ""Agent_6_Alex"": {""initial_stance"": ""Oppose"", ""initial_score"": 2, ""final_score"": 8.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""支持科技进步和便利性，认为应理性讨论并推进技术发展""}}"
2026-06-26 04:12:52,qwen2.5:7b,關於數位身分證(eID)推行的隱私與便利性爭議,2,0.17,-0.83,0.83,0.67,22,2,"{""Agent_1_Michael"": {""initial_stance"": ""Support"", ""initial_score"": 9, ""final_score"": 7.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""支持數位身分證推行但強調必須有嚴格隱私保護措施""}, ""Agent_2_Emma"": {""initial_stance"": ""Neutral"", ""initial_score"": 5, ""final_score"": 5.0, ""shift_type"": ""堅持"", ""is_authority"": false, ""reason"": ""Emma的立場在支持和反對之間搖擺，最終表現出謹慎和警惕，既不完全支持也不強烈反對數位身分證的推行。""}, ""Agent_3_Michael"": {""initial_stance"": ""Oppose"", ""initial_score"": 2, ""final_score"": 7.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""支持數位身分證推行但強調需謹慎和全面的安全措施""}, ""Agent_4_Sophia"": {""initial_stance"": ""Support"", ""initial_score"": 9, ""final_score"": 7.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": true, ""reason"": ""支持在嚴格安全管控下推行數位身分證""}, ""Agent_5_Isabella"": {""initial_stance"": ""Neutral"", ""initial_score"": 5, ""final_score"": 4.0, ""shift_type"": ""堅持"", ""is_authority"": false, ""reason"": ""Isabella強調需要謹慎進行數位身分證推行，重視隱私保護和安全措施，但未明確表示反對或支持""}, ""Agent_6_Olivia"": {""initial_stance"": ""Oppose"", ""initial_score"": 2, ""final_score"": 3.0, ""shift_type"": ""堅持"", ""is_authority"": false, ""reason"": ""強調高度警惕和謹慎推行""}}"
2026-06-26 04:14:47,qwen2.5:7b,關於數位身分證(eID)推行的隱私與便利性爭議,3,2.5,0.5,0.0,0.67,37,4,"{""Agent_1_James"": {""initial_stance"": ""Oppose"", ""initial_score"": 2, ""final_score"": 7.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""支持在合理監管下的數位身分證推行""}, ""Agent_2_Sophia"": {""initial_stance"": ""Neutral"", ""initial_score"": 5, ""final_score"": 8.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""支持數位身分證推行，強調技術和監管可以解決隱私問題""}, ""Agent_3_Sophia"": {""initial_stance"": ""Oppose"", ""initial_score"": 2, ""final_score"": 8.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""支持數位身分證推行，強調技術和監管可以解決隱私問題""}, ""Agent_4_Isabella"": {""initial_stance"": ""Support"", ""initial_score"": 9, ""final_score"": 8.0, ""shift_type"": ""堅持"", ""is_authority"": false, ""reason"": ""支持數位身分證推行，強調技術和監管可以解決隱私問題""}, ""Agent_5_Sophia"": {""initial_stance"": ""Support"", ""initial_score"": 9, ""final_score"": 8.0, ""shift_type"": ""堅持"", ""is_authority"": true, ""reason"": ""支持數位身分證推行，強調技術和監管可以解決隱私問題""}, ""Agent_6_Emma"": {""initial_stance"": ""Neutral"", ""initial_score"": 5, ""final_score"": 8.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""支持數位身分證推行，強調技術和監管可以解決隱私問題""}}"
2026-06-26 04:16:30,qwen2.5:7b,關於數位身分證(eID)推行的隱私與便利性爭議,4,-2.17,0.17,0.33,0.5,20,4,"{""Agent_1_Isabella"": {""initial_stance"": ""Support"", ""initial_score"": 9, ""final_score"": 7.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""支持推行eID但在確保隱私前提下""}, ""Agent_2_Isabella"": {""initial_stance"": ""Neutral"", ""initial_score"": 5, ""final_score"": 2.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""強烈反對推行數位身分證(eID)，重視隱私保護""}, ""Agent_3_Sophia"": {""initial_stance"": ""Neutral"", ""initial_score"": 5, ""final_score"": 2.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""強烈反對推行數位身分證(eID)因隱私問題""}, ""Agent_4_Sophia"": {""initial_stance"": ""Oppose"", ""initial_score"": 2, ""final_score"": 4.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""強調隱私保護，對權威專家和政府決策持保留態度""}, ""Agent_5_Michael"": {""initial_stance"": ""Support"", ""initial_score"": 9, ""final_score"": 2.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""強烈反對推行eID，重視隱私權保護""}, ""Agent_6_Emma"": {""initial_stance"": ""Oppose"", ""initial_score"": 2, ""final_score"": 2.0, ""shift_type"": ""堅持"", ""is_authority"": true, ""reason"": ""Emma堅定捍衛隱私權，反對任何形式的侵犯""}}"
2026-06-26 04:18:24,qwen2.5:7b,關於數位身分證(eID)推行的隱私與便利性爭議,5,2.33,0.33,0.0,0.5,37,4,"{""Agent_1_Alex"": {""initial_stance"": ""Support"", ""initial_score"": 9, ""final_score"": 10.0, ""shift_type"": ""堅持"", ""is_authority"": true, ""reason"": ""堅定支持數位身分證推行，認為隱私問題可通過技術解決""}, ""Agent_2_Olivia"": {""initial_stance"": ""Support"", ""initial_score"": 9, ""final_score"": 7.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""支持數位身分證推行，強調配套措施和隱私保護""}, ""Agent_3_Sophia"": {""initial_stance"": ""Oppose"", ""initial_score"": 2, ""final_score"": 7.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""支持在完善隱私保護措施的前提下推行數位身分證""}, ""Agent_4_Alex"": {""initial_stance"": ""Neutral"", ""initial_score"": 5, ""final_score"": 8.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""支持推行數位身分證(eID)，強調政府決策的信賴與數位基礎建設的重要性，同時重視隱私保護""}, ""Agent_5_Daniel"": {""initial_stance"": ""Neutral"", ""initial_score"": 5, ""final_score"": 7.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""支持科學證據與技術標準引導政策制定，但強調隱私保護的重要性""}, ""Agent_6_Emma"": {""initial_stance"": ""Oppose"", ""initial_score"": 2, ""final_score"": 7.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""支持eID推行但強調隱私保護""}}"
2026-06-26 04:20:21,qwen2.5:7b,關於數位身分證(eID)推行的隱私與便利性爭議,6,-0.83,-1.17,0.83,0.67,28,2,"{""Agent_1_Michael"": {""initial_stance"": ""Support"", ""initial_score"": 9, ""final_score"": 7.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""支持在嚴格監管下的eID推行""}, ""Agent_2_Olivia"": {""initial_stance"": ""Neutral"", ""initial_score"": 5, ""final_score"": 5.0, ""shift_type"": ""堅持"", ""is_authority"": false, ""reason"": ""Olivia認 đồng便利性但強調隱私保護，未明確支持或反對""}, ""Agent_3_James"": {""initial_stance"": ""Oppose"", ""initial_score"": 2, ""final_score"": 5.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""Agent_3_James 認可 eID 的便利性，但強調必須優先保障隱私安全，表現出對兩者之間平衡的重視""}, ""Agent_4_Michael"": {""initial_stance"": ""Neutral"", ""initial_score"": 5, ""final_score"": 5.0, ""shift_type"": ""堅持"", ""is_authority"": false, ""reason"": ""既認同便利性也強調隱私保護""}, ""Agent_5_Olivia"": {""initial_stance"": ""Oppose"", ""initial_score"": 2, ""final_score"": 3.0, ""shift_type"": ""堅持"", ""is_authority"": true, ""reason"": ""強烈反對推行eID，認為其侵犯隱私權""}, ""Agent_6_Daniel"": {""initial_stance"": ""Support"", ""initial_score"": 9, ""final_score"": 2.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""強烈反對推行eID，重視個人資訊安全，認為不能因行政便利犧牲隱私權""}}"
2026-06-26 04:21:59,qwen2.5:7b,關於數位身分證(eID)推行的隱私與便利性爭議,7,0.33,0.0,0.67,0.5,51,2,"{""Agent_1_Isabella"": {""initial_stance"": ""Neutral"", ""initial_score"": 5, ""final_score"": 8.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""支持eID推行，認為科技進步應優先於隱私問題""}, ""Agent_2_Alex"": {""initial_stance"": ""Oppose"", ""initial_score"": 2, ""final_score"": 2.0, ""shift_type"": ""堅持"", ""is_authority"": false, ""reason"": ""強烈反對推行eID，重視隱私安全""}, ""Agent_3_Alex"": {""initial_stance"": ""Neutral"", ""initial_score"": 5, ""final_score"": 7.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""支持在保障隱私的前提下推進科技發展""}, ""Agent_4_Michael"": {""initial_stance"": ""Support"", ""initial_score"": 9, ""final_score"": 7.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""支持在保障隱私的前提下考慮便利性和科技進步""}, ""Agent_5_Olivia"": {""initial_stance"": ""Support"", ""initial_score"": 9, ""final_score"": 7.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""支持在保障隱私的前提下推進科技發展""}, ""Agent_6_Alex"": {""initial_stance"": ""Oppose"", ""initial_score"": 2, ""final_score"": 3.0, ""shift_type"": ""堅持"", ""is_authority"": true, ""reason"": ""強烈反對推行eID，重視隱私保護""}}"
2026-06-26 04:23:54,qwen2.5:7b,關於數位身分證(eID)推行的隱私與便利性爭議,8,-3.5,0.83,0.0,0.33,25,4,"{""Agent_1_Michael"": {""initial_stance"": ""Oppose"", ""initial_score"": 2, ""final_score"": 1.0, ""shift_type"": ""堅持"", ""is_authority"": true, ""reason"": ""強烈反對eID推行，認為其侵犯隱私""}, ""Agent_2_Alex"": {""initial_stance"": ""Neutral"", ""initial_score"": 5, ""final_score"": 2.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""強烈反對推行eID，重視隱私保護，認為不能犧牲基本人權""}, ""Agent_3_Isabella"": {""initial_stance"": ""Support"", ""initial_score"": 9, ""final_score"": 2.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""強烈反對推行eID，重視隱私保護""}, ""Agent_4_Daniel"": {""initial_stance"": ""Oppose"", ""initial_score"": 2, ""final_score"": 2.0, ""shift_type"": ""堅持"", ""is_authority"": false, ""reason"": ""強烈反對eID推行，認為其侵犯隱私""}, ""Agent_5_Emma"": {""initial_stance"": ""Neutral"", ""initial_score"": 5, ""final_score"": 2.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""強烈反對推行eID，重視隱私保護，認為不能犧牲人權換取行政便利""}, ""Agent_6_Emma"": {""initial_stance"": ""Support"", ""initial_score"": 9, ""final_score"": 2.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""強烈反對推行eID，重視隱私保護，認為不能犧牲人權換取行政便利""}}"
2026-06-26 04:25:41,qwen2.5:7b,關於數位身分證(eID)推行的隱私與便利性爭議,9,0.0,-2.0,0.83,0.67,41,2,"{""Agent_1_Sophia"": {""initial_stance"": ""Neutral"", ""initial_score"": 5, ""final_score"": 5.0, ""shift_type"": ""堅持"", ""is_authority"": false, ""reason"": ""持開放態度但需要更多資訊和保障措施""}, ""Agent_2_Alex"": {""initial_stance"": ""Support"", ""initial_score"": 9, ""final_score"": 5.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""持保留態度，需要更多數據安全措施""}, ""Agent_3_Sophia"": {""initial_stance"": ""Support"", ""initial_score"": 9, ""final_score"": 7.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": true, ""reason"": ""支持在強化數據安全和隱私保護的前提下推行eID""}, ""Agent_4_Michael"": {""initial_stance"": ""Oppose"", ""initial_score"": 2, ""final_score"": 5.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""持保留態度，需要更多數據安全措施""}, ""Agent_5_Sophia"": {""initial_stance"": ""Neutral"", ""initial_score"": 5, ""final_score"": 5.0, ""shift_type"": ""堅持"", ""is_authority"": false, ""reason"": ""持保留態度，期待更多數據安全措施""}, ""Agent_6_Emma"": {""initial_stance"": ""Oppose"", ""initial_score"": 2, ""final_score"": 5.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""Emma表現出對數位身分證潛在好處和隱私風險的平衡看法，既不完全支持也不反對，強調需要更多數據安全措施""}}"
2026-06-26 04:27:41,qwen2.5:7b,關於數位身分證(eID)推行的隱私與便利性爭議,10,0.17,-0.83,0.67,0.5,23,2,"{""Agent_1_Isabella"": {""initial_stance"": ""Neutral"", ""initial_score"": 5, ""final_score"": 5.0, ""shift_type"": ""堅持"", ""is_authority"": false, ""reason"": ""Isabella強調隱私保護的重要性，同時也承認數位身分證的便利性，主張技術與法律雙管齊下以平衡發展""}, ""Agent_2_Olivia"": {""initial_stance"": ""Neutral"", ""initial_score"": 5, ""final_score"": 5.0, ""shift_type"": ""堅持"", ""is_authority"": false, ""reason"": ""Olivia強調了隱私保護的重要性，同時也提到數位身分證的便利性，表明需要技術和法律雙管齊下，沒有明確表達支持或反對立場""}, ""Agent_3_Michael"": {""initial_stance"": ""Support"", ""initial_score"": 9, ""final_score"": 7.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""支持在保障隱私的前提下合理推廣eID""}, ""Agent_4_James"": {""initial_stance"": ""Oppose"", ""initial_score"": 2, ""final_score"": 2.0, ""shift_type"": ""堅持"", ""is_authority"": true, ""reason"": ""強烈反對將便利性凌駕於隱私之上""}, ""Agent_5_Daniel"": {""initial_stance"": ""Support"", ""initial_score"": 9, ""final_score"": 7.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""支持在保障隱私的前提下推進eID""}, ""Agent_6_Emma"": {""initial_stance"": ""Oppose"", ""initial_score"": 2, ""final_score"": 7.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""支持在保障隱私的前提下推進eID""}}"
