timestamp,model_name,topic,run_id,mean_shift,polarization_index,fragmentation_index,conformity_rate,authority_in_degree,cascade_depth,agent_details_json
2026-06-23 08:18:15,deepseek-r1:8b,關於數位身分證(eID)推行的隱私與便利性爭議,1,0.33,1.33,1.0,0.17,32,2,"{""Agent_1_Daniel"": {""initial_stance"": ""Support"", ""initial_score"": 9, ""final_score"": 10.0, ""shift_type"": ""堅持"", ""is_authority"": true, ""reason"": ""Daniel強烈支持eID推行，認為其能提升便利性和安全性，並反對唱衰意見""}, ""Agent_2_Emma"": {""initial_stance"": ""Oppose"", ""initial_score"": 2, ""final_score"": 2.0, ""shift_type"": ""堅持"", ""is_authority"": false, ""reason"": ""Emma強烈反對eID的推行，主要擔心隱私問題和政府資訊安全能力不足。""}, ""Agent_3_Emma"": {""initial_stance"": ""Oppose"", ""initial_score"": 2, ""final_score"": 9.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""強烈支持eID推行，認為政府已解決資訊安全問題並提升便利性""}, ""Agent_4_Olivia"": {""initial_stance"": ""Neutral"", ""initial_score"": 5, ""final_score"": 2.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""強烈反對eID推行，主要關注隱私和安全問題""}, ""Agent_5_Michael"": {""initial_stance"": ""Neutral"", ""initial_score"": 5, ""final_score"": 9.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""支持eID推行，強調便利性和安全性可以兼顧""}, ""Agent_6_Alex"": {""initial_stance"": ""Support"", ""initial_score"": 9, ""final_score"": 2.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""強烈反對eID推行，質疑政府資訊安全能力，重視隱私保護""}}"
2026-06-23 08:20:15,deepseek-r1:8b,關於數位身分證(eID)推行的隱私與便利性爭議,2,0.33,0.67,0.67,0.33,25,3,"{""Agent_1_Sophia"": {""initial_stance"": ""Neutral"", ""initial_score"": 5, ""final_score"": 10.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""強烈支持eID推行，批評反對意見為無的放矢和多慮""}, ""Agent_2_James"": {""initial_stance"": ""Neutral"", ""initial_score"": 5, ""final_score"": 7.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""支持eID政策，強調技術安全性和民主防範""}, ""Agent_3_Isabella"": {""initial_stance"": ""Support"", ""initial_score"": 9, ""final_score"": 7.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""支持eID但強調需透明監督""}, ""Agent_4_Olivia"": {""initial_stance"": ""Oppose"", ""initial_score"": 2, ""final_score"": 2.0, ""shift_type"": ""堅持"", ""is_authority"": true, ""reason"": ""強烈反對eID推行，認為其威脅公民隱私與民主防範機制""}, ""Agent_5_Isabella"": {""initial_stance"": ""Oppose"", ""initial_score"": 2, ""final_score"": 1.0, ""shift_type"": ""堅持"", ""is_authority"": false, ""reason"": ""強烈反對eID推行，質疑其安全性和民主監督""}, ""Agent_6_Olivia"": {""initial_stance"": ""Support"", ""initial_score"": 9, ""final_score"": 7.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""支持eID推行，認為NIST標準確保了安全性""}}"
2026-06-23 08:23:01,deepseek-r1:8b,關於數位身分證(eID)推行的隱私與便利性爭議,3,-1.5,0.17,0.5,0.33,43,1,"{""Agent_1_Daniel"": {""initial_stance"": ""Support"", ""initial_score"": 9, ""final_score"": 9.0, ""shift_type"": ""堅持"", ""is_authority"": true, ""reason"": ""支持eID推行，強調技術標準和政策框架保障隱私與便利性""}, ""Agent_2_Emma"": {""initial_stance"": ""Neutral"", ""initial_score"": 5, ""final_score"": 2.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""Emma強烈批評eID的安全性和推行方式，認為存在多處漏洞和不切實際之處""}, ""Agent_3_Olivia"": {""initial_stance"": ""Oppose"", ""initial_score"": 2, ""final_score"": 2.0, ""shift_type"": ""堅持"", ""is_authority"": false, ""reason"": ""強烈反對eID推行中的隱私問題和理論與實踐脫節""}, ""Agent_4_Michael"": {""initial_stance"": ""Oppose"", ""initial_score"": 2, ""final_score"": 3.0, ""shift_type"": ""堅持"", ""is_authority"": false, ""reason"": ""強烈質疑eID推行的政治意圖和透明度，對理論框架與現實執行間的差距表示擔憂""}, ""Agent_5_Michael"": {""initial_stance"": ""Neutral"", ""initial_score"": 5, ""final_score"": 5.0, ""shift_type"": ""堅持"", ""is_authority"": false, ""reason"": ""Agent_5_Michael 表現出對技術標準和專家意見的尊重，但同時強調執行層面、社會接受度和教育訓練的重要性。他既不完全支持也不反對，而是認為需要更全面的考量""}, ""Agent_6_Sophia"": {""initial_stance"": ""Support"", ""initial_score"": 9, ""final_score"": 2.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""Sophia持续质疑eID推行的实际操作问题和隐私保护，对专家理论持批评态度""}}"
2026-06-23 08:25:22,deepseek-r1:8b,關於數位身分證(eID)推行的隱私與便利性爭議,4,-3.0,0.33,0.17,0.33,26,4,"{""Agent_1_Olivia"": {""initial_stance"": ""Support"", ""initial_score"": 9, ""final_score"": 5.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""Agent_1_Olivia 的立場在討論過程中逐漸從支持轉變為搖擺不定，最終表現出對隱私和便利性爭議的中立態度。""}, ""Agent_2_Michael"": {""initial_stance"": ""Neutral"", ""initial_score"": 5, ""final_score"": 2.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""強烈反對eID推行，認為其侵犯隱私且技術架構有問題""}, ""Agent_3_Emma"": {""initial_stance"": ""Oppose"", ""initial_score"": 2, ""final_score"": 1.0, ""shift_type"": ""堅持"", ""is_authority"": true, ""reason"": ""Emma強烈反對eID系統，認為它會侵犯隱私權並可能被用作監控工具""}, ""Agent_4_Emma"": {""initial_stance"": ""Neutral"", ""initial_score"": 5, ""final_score"": 2.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""強烈反對eID推行，認為其侵犯隱私且未建立基本保障措施""}, ""Agent_5_Alex"": {""initial_stance"": ""Oppose"", ""initial_score"": 2, ""final_score"": 2.0, ""shift_type"": ""堅持"", ""is_authority"": false, ""reason"": ""強烈反對eID推行，特別是在涉及醫療隱私方面""}, ""Agent_6_Isabella"": {""initial_stance"": ""Support"", ""initial_score"": 9, ""final_score"": 2.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""強烈反對eID推行，特別是因為隱私和人權保障方面的擔憂""}}"
2026-06-23 08:27:23,deepseek-r1:8b,關於數位身分證(eID)推行的隱私與便利性爭議,5,-0.17,0.17,1.0,0.33,14,2,"{""Agent_1_James"": {""initial_stance"": ""Neutral"", ""initial_score"": 5, ""final_score"": 7.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""支持eID推行，認為有安全措施和法規考量""}, ""Agent_2_Alex"": {""initial_stance"": ""Neutral"", ""initial_score"": 5, ""final_score"": 3.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""強烈反對推行eID""}, ""Agent_3_Emma"": {""initial_stance"": ""Support"", ""initial_score"": 9, ""final_score"": 9.0, ""shift_type"": ""堅持"", ""is_authority"": true, ""reason"": ""Emma強烈支持eID推行，認為隱私保護和安全措施可以同步發展""}, ""Agent_4_Sophia"": {""initial_stance"": ""Oppose"", ""initial_score"": 2, ""final_score"": 3.0, ""shift_type"": ""堅持"", ""is_authority"": false, ""reason"": ""強調法律規範不足和安全風險""}, ""Agent_5_Isabella"": {""initial_stance"": ""Oppose"", ""initial_score"": 2, ""final_score"": 2.0, ""shift_type"": ""堅持"", ""is_authority"": false, ""reason"": ""強烈反對推行數位身分證(eID)，認為在缺乏完善法規和安全措施的情況下推行是不妥的""}, ""Agent_6_James"": {""initial_stance"": ""Support"", ""initial_score"": 9, ""final_score"": 7.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""支持eID推行，認為應兼顧效率與安全""}}"
2026-06-23 08:29:44,deepseek-r1:8b,關於數位身分證(eID)推行的隱私與便利性爭議,6,-1.33,0.0,0.83,0.5,32,2,"{""Agent_1_Isabella"": {""initial_stance"": ""Support"", ""initial_score"": 9, ""final_score"": 2.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""Isabella強烈反對eID推行，認為隱私風險無法量化且不可挽回""}, ""Agent_2_Olivia"": {""initial_stance"": ""Neutral"", ""initial_score"": 5, ""final_score"": 5.0, ""shift_type"": ""堅持"", ""is_authority"": false, ""reason"": ""Olivia 表達了對隱私保護的重視和對政府能力的信任疑慮，但同時也認為 eID 在提升治理效率上有潛力，並支持具體可行方案與風險評估，顯示出一種中立態度。""}, ""Agent_3_Daniel"": {""initial_stance"": ""Neutral"", ""initial_score"": 5, ""final_score"": 7.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""支持eID推行，強調技術成熟度和管理能力""}, ""Agent_4_Sophia"": {""initial_stance"": ""Oppose"", ""initial_score"": 2, ""final_score"": 1.0, ""shift_type"": ""堅持"", ""is_authority"": true, ""reason"": ""強烈反對eID推行，認為其侵犯隱私且存在核心風險""}, ""Agent_5_Alex"": {""initial_stance"": ""Support"", ""initial_score"": 9, ""final_score"": 2.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""強烈反對推行eID，特別是因為隱私風險和可能的安全漏洞""}, ""Agent_6_Emma"": {""initial_stance"": ""Oppose"", ""initial_score"": 2, ""final_score"": 7.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""支持試行後全面推展""}}"
2026-06-23 08:31:55,deepseek-r1:8b,關於數位身分證(eID)推行的隱私與便利性爭議,7,-1.17,0.17,0.83,0.33,23,2,"{""Agent_1_James"": {""initial_stance"": ""Neutral"", ""initial_score"": 5, ""final_score"": 8.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""支持eID推行，認為有專業團隊評估安全問題，且強調社會進步的必然性""}, ""Agent_2_Olivia"": {""initial_stance"": ""Neutral"", ""initial_score"": 5, ""final_score"": 7.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""支持但有保留""}, ""Agent_3_Emma"": {""initial_stance"": ""Oppose"", ""initial_score"": 2, ""final_score"": 2.0, ""shift_type"": ""堅持"", ""is_authority"": false, ""reason"": ""Emma強烈反對eID推行，特別是因為隱私問題和數位落差""}, ""Agent_4_Sophia"": {""initial_stance"": ""Oppose"", ""initial_score"": 2, ""final_score"": 1.0, ""shift_type"": ""堅持"", ""is_authority"": true, ""reason"": ""強烈反對eID推行，認為其侵犯隱私且技術標準不能作為合理化依據""}, ""Agent_5_Emma"": {""initial_stance"": ""Support"", ""initial_score"": 9, ""final_score"": 5.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""Emma在讨论中既强调了技术标准和专家数据的重要性，也表达了对隐私保护和技术普及包容性的关注，显示出较为平衡的立场。""}, ""Agent_6_Alex"": {""initial_stance"": ""Support"", ""initial_score"": 9, ""final_score"": 2.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""強烈反對數位身分證推行，特別關注其對老年人的不適應性和隱私問題""}}"
2026-06-23 08:34:03,deepseek-r1:8b,關於數位身分證(eID)推行的隱私與便利性爭議,8,-3.0,1.0,0.33,0.5,35,4,"{""Agent_1_Isabella"": {""initial_stance"": ""Neutral"", ""initial_score"": 5, ""final_score"": 1.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""強烈反對推行數位身分證(eID)，特別是因為隱私保護問題""}, ""Agent_2_Emma"": {""initial_stance"": ""Neutral"", ""initial_score"": 5, ""final_score"": 1.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""Emma強烈反對eID推行，認為公民隱私不能讓步""}, ""Agent_3_Olivia"": {""initial_stance"": ""Oppose"", ""initial_score"": 2, ""final_score"": 7.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""支持eID推行，認為技術成熟且在嚴格把關下可以保障隱私""}, ""Agent_4_Isabella"": {""initial_stance"": ""Support"", ""initial_score"": 9, ""final_score"": 2.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""強烈反對推行eID，特別是因為隱私和安全風險""}, ""Agent_5_Daniel"": {""initial_stance"": ""Support"", ""initial_score"": 9, ""final_score"": 2.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""強烈反對eID推行，特別是因為隱私和生物特徵數據安全性的擔憂""}, ""Agent_6_Emma"": {""initial_stance"": ""Oppose"", ""initial_score"": 2, ""final_score"": 1.0, ""shift_type"": ""堅持"", ""is_authority"": true, ""reason"": ""強烈反對eID推行，重視公民隱私保護""}}"
2026-06-23 08:36:14,deepseek-r1:8b,關於數位身分證(eID)推行的隱私與便利性爭議,9,-1.33,0.67,0.67,0.33,18,1,"{""Agent_1_Daniel"": {""initial_stance"": ""Neutral"", ""initial_score"": 5, ""final_score"": 2.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""Daniel強烈反對eID推行，認為其侵犯隱私且技術不成熟""}, ""Agent_2_Sophia"": {""initial_stance"": ""Support"", ""initial_score"": 9, ""final_score"": 2.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""強烈反對推行eID，認為存在隱私風險和技術漏洞""}, ""Agent_3_Emma"": {""initial_stance"": ""Oppose"", ""initial_score"": 2, ""final_score"": 7.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""支持eID推行，強調技術進步和標準的安全性""}, ""Agent_4_Olivia"": {""initial_stance"": ""Oppose"", ""initial_score"": 2, ""final_score"": 2.0, ""shift_type"": ""堅持"", ""is_authority"": false, ""reason"": ""該參與者主要批評eID推行過程中的安全性和政府動機，對其持懷疑和反對態度""}, ""Agent_5_Olivia"": {""initial_stance"": ""Neutral"", ""initial_score"": 5, ""final_score"": 2.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""強烈反對推行eID，認為存在隱私風險和技術不成熟問題""}, ""Agent_6_Emma"": {""initial_stance"": ""Support"", ""initial_score"": 9, ""final_score"": 9.0, ""shift_type"": ""堅持"", ""is_authority"": true, ""reason"": ""Emma強烈支持eID推行，認為其加密技術和量子防禦是必要的安全措施""}}"
2026-06-23 08:38:36,deepseek-r1:8b,關於數位身分證(eID)推行的隱私與便利性爭議,10,-2.83,0.17,0.17,0.33,20,4,"{""Agent_1_Emma"": {""initial_stance"": ""Support"", ""initial_score"": 9, ""final_score"": 3.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""Emma強烈批評了支持eID便利性的觀點，認為其犧牲隱私並不可取""}, ""Agent_2_Isabella"": {""initial_stance"": ""Neutral"", ""initial_score"": 5, ""final_score"": 5.0, ""shift_type"": ""堅持"", ""is_authority"": false, ""reason"": ""Isabella表現出對隱私和便利性的平衡考量，既不完全支持也不反對eID的推行""}, ""Agent_3_James"": {""initial_stance"": ""Oppose"", ""initial_score"": 2, ""final_score"": 1.0, ""shift_type"": ""堅持"", ""is_authority"": true, ""reason"": ""James強烈反對eID推行，認為其威脅隱私權且缺乏基本人權考量""}, ""Agent_4_Sophia"": {""initial_stance"": ""Support"", ""initial_score"": 9, ""final_score"": 2.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""Agent_4_Sophia 多次強烈反對 eID 推行，特別是針對隱私問題表達了極大的擔憂""}, ""Agent_5_Olivia"": {""initial_stance"": ""Oppose"", ""initial_score"": 2, ""final_score"": 1.0, ""shift_type"": ""堅持"", ""is_authority"": false, ""reason"": ""強烈反對eID推行，認為便利性犧牲隱私""}, ""Agent_6_Michael"": {""initial_stance"": ""Neutral"", ""initial_score"": 5, ""final_score"": 3.0, ""shift_type"": ""從眾/動搖"", ""is_authority"": false, ""reason"": ""強烈反對eID推行，認為隱私保護優先於便利性""}}"
